W,FA,FB,FC,FD,FT,X,YC,y,r1A,r2C
0.0,10.0,10.0,0.0,0.0,20.0,0.0,NaN,1.0,-0.10000000000000002,-0.0
20.408163265306122,8.378068706990653,6.756852823877458,1.621037030639157,0.00017885247403786011,16.756137413981307,0.16219312930093466,0.49983455656096515,0.9821514691934535,-0.0616221001348042,-9.929575152106508e-05
40.816326530612244,7.3812214472834015,4.77127241366548,2.6077416538432514,0.0022073797746691884,14.762442894566801,0.26187785527165985,0.4987335084464305,0.9665520630951291,-0.03773007884515848,-0.0005579901174591498
61.224489795918366,6.75460066546567,3.5424247996927214,3.203869998582603,0.008305867190345394,13.50920133093134,0.324539933453433,0.4961413377625319,0.9523158145975307,-0.023754446298501736,-0.0012537815165725075
81.63265306122449,6.338210674208139,2.7534082159861706,3.5655557413294945,0.019246716892473308,12.676421348416278,0.3661789325791861,0.4920320955839135,0.9389203651026004,-0.015620471682655814,-0.0019485732365543294
102.0408163265306,6.042728892894279,2.2234340677265427,3.7848007546832396,0.034494070484496424,12.085457785788558,0.3957271107105721,0.48669307090626873,0.9260653569372669,-0.010752444396118154,-0.0025103205653745097
122.44897959183673,5.819621838901432,1.8512568103535978,3.9153617454101495,0.05300328313768399,11.639243677802863,0.41803781610985685,0.48048657986729953,0.913573666154397,-0.007715685659911237,-0.0029069697101252534
142.85714285714286,5.6425436328570795,1.579764690380316,3.9891095863102244,0.07366935616653934,11.285087265714159,0.43574563671429206,0.4737527443862373,0.9013358750077625,-0.0057397757446857765,-0.0031530268444435725
163.26530612244898,5.4959128321798225,1.3742770312125254,4.026022959254077,0.0956128417132202,10.991825664359647,0.45040871678201777,0.46674614682414484,0.8892801283250529,-0.004397285537249466,-0.003279392745272047
183.6734693877551,5.371671845775314,1.2155587947341755,4.038059275245251,0.11805377579588727,10.743343691550628,0.4628328154224686,0.4596831125495655,0.8773572672914607,-0.0034582980937845112,-0.003312556507778959
204.0816326530612,5.2638248911815255,1.0895456259582537,4.033805304324471,0.14047396089880107,10.527649782363051,0.47361751088184745,0.452704781932995,0.8655292030063984,-0.0027780058311274295,-0.003278992209992353
224.48979591836735,5.168316036317676,0.9867718815572035,4.019009202530009,0.1625349522304631,10.33663207263535,0.4831683963682324,0.4459011965209606,0.8537672596823449,-0.0022685789383974707,-0.0031996211283488096
244.89795918367346,5.083293730403024,0.9023226082690056,3.997037335268278,0.18393378686573988,10.166587460806047,0.49167062695969765,0.4393470072813574,0.8420485325959423,-0.0018812418748429904,-0.0030871367959401557
265.3061224489796,5.0072159558223674,0.8323136731825842,3.97043184225532,0.20447044038446271,10.014431911644735,0.4992784044177633,0.4330898441235898,0.8303524678430586,-0.001581862955770145,-0.0029520786980219557
285.7142857142857,4.938662606299214,0.7734171427999336,3.941222480948904,0.22402298255037656,9.877325212598429,0.5061337393700786,0.42715949576861245,0.8186604870748956,-0.0013456135801001472,-0.002803336218811376
306.1224489795918,4.876335901515791,0.7228618216415249,3.91092657522178,0.24254750465248626,9.752671803031582,0.5123664098484209,0.4215660584149875,0.8069559874535496,-0.0011547099093529177,-0.0026478821156527108
326.53061224489795,4.819404134610114,0.6788989646990466,3.8804824960413624,0.2600226738697051,9.638808269220227,0.5180595865389886,0.41631160110218374,0.7952242066869281,-0.0009979122998974156,-0.002490097575319668
346.9387755102041,4.767511223288086,0.640717874878737,3.8503694913337063,0.276423857075642,9.535022446576171,0.5232488776711914,0.4113958143220113,0.7834512440457325,-0.0008685326631598769,-0.002332293392335146
367.3469387755102,4.7202302224947195,0.6074959553010848,3.820975389615723,0.2917588775779118,9.440460444989439,0.5279769777505281,0.40681115189641714,0.7716232910040532,-0.0007609855378747216,-0.002176461941000847
387.7551020408163,4.677154190663406,0.5784859237416053,3.7926238813181015,0.30604438560369884,9.354308381326812,0.5322845809336594,0.402549298405791,0.759726570797592,-0.0006708017144543521,-0.0020241938529556988
408.1632653061224,4.637896189715909,0.5530158126308418,3.7655745187853107,0.31930585829975644,9.275792379431818,0.5362103810284091,0.3986007009326821,0.7477473384236616,-0.0005944258388525271,-0.0018767062790692136
428.57142857142856,4.602089285062369,0.5304889690543628,3.7400227162755986,0.331577599732407,9.204178570124737,0.5397910714937632,0.39495415381570287,0.7356718806411864,-0.0005290480334032805,-0.0017348808011980158
448.9795918367347,4.569386545601299,0.510384054752765,3.716099749960992,0.34290274088754225,9.138773091202598,0.5430613454398701,0.3915964325007439,0.7234865159707022,-0.00047246508792011735,-0.001599307077800061
469.3877551020408,4.5394610792828445,0.4922550942701979,3.693872751086518,0.3533332339261279,9.078922158565687,0.5460538920717155,0.38851197499634443,0.711177592038034,-0.0004229665645130707,-0.0014703288593021285
489.7959183673469,4.5120938989548565,0.47584916099697544,3.673329397186064,0.36291534077181636,9.024187797909713,0.5487906101045144,0.38568576446134734,0.6987274676576617,-0.00037940740798609414,-0.001347955565267062
510.2040816326531,4.4871567979644285,0.4610631129109002,3.654406305808017,0.3716873792455112,8.974313595928857,0.5512843202035571,0.3831041497668609,0.6861218021822024,-0.0003410216284733966,-0.0012320664037063936
530.6122448979592,4.46448792058589,0.4477508377535262,3.637043333686927,0.37969374914543697,8.92897584117178,0.553551207941411,0.38075256119382633,0.6733494869715252,-0.0003070797019438581,-0.0011225983425066231
551.0204081632653,4.443932067429151,0.43577514203776524,3.62117917359652,0.3869777517948661,8.887864134858303,0.5556067932570848,0.37861710984156566,0.6603970498923294,-0.00027695260658557085,-0.0010194470870210429
571.4285714285714,4.425340695439707,0.4250077510478873,3.6067513543497007,0.3935815900421189,8.850681390879414,0.5574659304560293,0.37668451948297127,0.6472486553181452,-0.0002501000327320867,-0.0009224769417995242
591.8367346938776,4.408571917898634,0.4153293088395201,3.5936962407985504,0.3995463682605635,8.81714383579727,0.5591428082101366,0.37494206703552774,0.6338861041293335,-0.00022605961991970815,-0.000831529616979566
612.2448979591836,4.393490504422593,0.4066293782396494,3.5819490338343276,0.40491209234861614,8.786981008845185,0.5606509495577406,0.3733775306991165,0.6202888337130859,-0.00020443724048323046,-0.00074643192341882
632.6530612244898,4.379967880963829,0.39880644084661887,3.571443770387469,0.40971766972974083,8.759935761927657,0.5620032119036171,0.3719791449243935,0.606433917963424,-0.00018489830345116905,-0.0006670023281376626
653.0612244897959,4.367882129810167,0.3917678970301302,3.5621133234275875,0.41400090935244954,8.735764259620334,0.5632117870189833,0.37073556146989317,0.5922960672812009,-0.0001671600211931225,-0.0005930563620348322
673.469387755102,4.357117989585018,0.38543006593124285,3.5538894019634735,0.41779852169030207,8.714235979170038,0.5642882010414982,0.36963581588506006,0.5778476285740998,-0.00015098456191658195,-0.0005244108861673958
693.8775510204082,4.347566855247376,0.3797181854623744,3.546702551043095,0.4211461187419062,8.695133710494751,0.5652433144752624,0.36866929882277655,0.5630585852566348,-0.00013617300136960588,-0.0004608872324966996
714.2857142857142,4.339126778091816,0.37456641230730026,3.5404821517535976,0.4240782140309177,8.67825355618363,0.5660873221908184,0.36782573164086235,0.5478965572501504,-0.0001225599848076724,-0.00040231324150421377
734.6938775510204,4.3317024657484975,0.36991782192115386,3.5351564212213034,0.42662822260604016,8.663404931496995,0.5668297534251503,0.3670951457993217,0.5323268009828218,-0.00011000901349427819,-0.00034852422430193446
755.1020408163265,4.325205282183164,0.36572440853042654,3.5306524126117127,0.428828461041025,8.650410564366329,0.5674794717816836,0.36646786560038197,0.5163122093896552,-9.840827705999281e-05,-0.00029936288280579506
775.5102040816327,4.31955326507892,0.3619471228081847,3.526895994108147,0.4307101481625871,8.63910653015784,0.5680446734921081,0.3659344931022788,0.49981301431170505,-8.76668234927916e-05,-0.0002546774645165698
795.9183673469388,4.314678896393846,0.3585720049963397,3.5238033383453433,0.4323035530521626,8.629357792787692,0.5685321103606154,0.36548562517621186,0.4826868836268514,-7.766981862451616e-05,-0.0002140958718822556
816.3265306122448,4.3105188897157465,0.3555864833576382,3.5212952303765706,0.43363717598153706,8.621037779431493,0.5689481110284254,0.3651124274483086,0.4649016314903702,-6.837771657848854e-05,-0.00017758867539773438
836.734693877551,4.307006499646743,0.3529651848894255,3.5193032683583314,0.4347380463989855,8.614012999293486,0.5692993500353257,0.36480673448445444,0.4464932088817412,-5.9780185668608004e-05,-0.0001452141859530948
857.1428571428571,4.304077477485699,0.3506834899726927,3.517761853762681,0.43563213375032445,8.608154954971397,0.5695922522514301,0.36456072822433777,0.4274260059990951,-5.1838605081316785e-05,-0.00011683017731752544
877.5510204081633,4.301670071228217,0.34871753237207676,3.516608191377228,0.4363443474789115,8.603340142456434,0.5698329928771784,0.364366932909957,0.4075928522592135,-4.449928655462012e-05,-9.21901905445134e-05
897.9591836734694,4.299725025566641,0.3470441992358605,3.515782289305134,0.43689853702564563,8.599450051133282,0.5700274974433359,0.36421821065696997,0.38681501629752846,-3.770493441459026e-05,-7.101527274768186e-05
918.3673469387755,4.298185581890054,0.3456411310959726,3.5152269589651133,0.4373174918289671,8.596371163780107,0.5701814418109946,0.36410775761479075,0.36484220596812345,-3.1404778036598086e-05,-5.3042165430239445e-05
938.7755102040816,4.29699747828428,0.3444867218679876,3.514887815091434,0.4376229413248576,8.593994956568558,0.570300252171572,0.36402910066438604,0.34135256834373234,-2.556373462557018e-05,-3.804926232169549e-05
959.1836734693877,4.2961089495318845,0.34356011885112603,3.5147132757339183,0.4378355549468398,8.592217899063769,0.5703891050468115,0.36397609460555724,0.31595268971573975,-2.0170705387134674e-05,-2.586100445997446e-05
979.5918367346939,4.295470727112172,0.342841222728254,3.51465456225794,0.437974942125978,8.590941454224344,0.5704529272887828,0.36394291978813964,0.2881775955941813,-1.5245623264633262e-05,-1.633081939343255e-05
1000.0,4.295036039201189,0.34231068756588373,3.5146656993444263,0.4380596522908775,8.590072078402377,0.5704963960798811,0.36392408014403116,0.25749075070774347,-1.0844067027244394e-05,-9.30360060499788e-06
